date,close
2020-01-27,104.94
2020-01-28,107.86
2020-01-29,110.01
2020-01-30,109.07
2020-01-31,107.8
2020-02-03,107.85
2020-02-04,110.94
2020-02-05,113.26
2020-02-06,112.7
2020-02-07,110.84
2020-02-10,111.37
2020-02-11,112.94
2020-02-12,113.7
2020-02-13,112.96
2020-02-14,113.23
2020-02-18,111.93
2020-02-19,112.67
2020-02-20,112.0
2020-02-21,109.57
2020-02-24,104.02
2020-02-25,98.88
2020-02-26,97.9
2020-02-27,95.83
2020-02-28,97.2
2020-03-02,96.46
2020-03-03,93.33
2020-03-04,98.39
2020-03-05,91.5
2020-03-06,90.45
2020-03-09,86.18
2020-03-10,90.32
2020-03-11,81.09
2020-03-12,76.72
2020-03-13,78.63
2020-03-16,69.54
2020-03-17,64.83
2020-03-18,56.68
2020-03-19,58.03
2020-03-20,61.6
2020-03-23,63.33
2020-03-24,69.39
2020-03-25,72.25
2020-03-26,73.2
2020-03-27,69.15
2020-03-30,68.68
2020-03-31,68.24
2020-04-01,63.04
2020-04-02,57.86
2020-04-03,55.94
2020-04-06,63.8
2020-04-07,65.83
2020-04-08,70.09
2020-04-09,68.45
2020-04-13,66.64
2020-04-14,70.01
2020-04-15,69.87
2020-04-16,70.15
2020-04-17,75.62
2020-04-20,72.28
2020-04-21,71.35
2020-04-22,70.79
2020-04-23,71.94
2020-04-24,71.37
2020-04-27,75.19
2020-04-28,75.75
2020-04-29,79.28
2020-04-30,75.71
2020-05-01,72.03
2020-05-04,71.41
2020-05-05,71.74
2020-05-06,70.79
2020-05-07,71.9
2020-05-08,72.19
2020-05-11,68.3
2020-05-12,67.0
2020-05-13,64.85
2020-05-14,68.17
2020-05-15,68.54
2020-05-18,73.07
2020-05-19,75.29
2020-05-20,77.72
2020-05-21,77.66
2020-05-22,78.39
2020-05-26,81.69
2020-05-27,83.15
2020-05-28,80.62
2020-05-29,79.31
2020-06-01,81.91
2020-06-02,83.6
2020-06-03,86.11
2020-06-04,86.34
2020-06-05,87.2
2020-06-08,89.7
2020-06-09,86.13
2020-06-10,82.83
2020-06-11,77.59
2020-06-12,77.45
2020-06-15,77.48
2020-06-16,78.25
2020-06-17,76.42
2020-06-18,78.16
2020-06-19,76.17
2020-06-22,76.08
2020-06-23,75.68
2020-06-24,73.19
2020-06-25,72.51
2020-06-26,71.16
2020-06-29,73.92
